row,name,url,phone,email,facebook,instagram,linkedin
6,The Gyro Guys,https://www.thegyroguyz.com/,,,,,
7,The Kebab Shop,https://thekebabshop.com/,,,https://www.facebook.com/TKSthekebabshop/,http://instagram.com/tks_thekebabshop,
8,The Nines,https://theninesthai.com/,"(281)-302-5497, +12813025497",,https://www.facebook.com/110407971738064,https://www.instagram.com/theninesthai.sugarland,
9,Paradise HTX,https://theparadisehtx.com/,"281.783.6661, 2817836661",theparadisehtx@gmail.com,,https://www.instagram.com/Paradisehtx_,
10,The Peri Peri Factory,https://theperiperifactory.com/,+1-832-740-4922,contact@theperiperifactory.com,https://web.facebook.com/theperiperifactory/,https://www.instagram.com/theperiperifactory/,
11,The Smoke,https://thesmokehtx.com/,,,,,
12,The Wing Boss,https://thewingbosshouston.com/,,,,,
13,Tiki Tacos,https://tikitacostx.com/,,,,,
14,Time Pizza,https://timepizzahouston.com/,"(281) 501-3669, +1 281 501 3669, +1281 501 3669, +12815013669","info@timepizza.com, info@timepizzahouston.com",https://www.facebook.com/TimePizzaHouston/,,
15,Timmy's Choice,https://timmyschoicehtx.com/,,,,,
16,Torchy's Tacos,https://torchystacos.com/,,,,,
17,Tumble 22 Hot Chicken,https://tumble22.com/,"(281) 500-9190, 281-547-6300, 512-201-4333, 512-433-6006, 512-520-1998, 512-547-6411, 512-920-6777, 512-953-8482, 832-675-9100",,https://www.facebook.com/tumble22hotchicken/,https://www.instagram.com/tumble22hotchx/,
18,Uberrito Fresh Mex,https://uberrito.com/,,,https://www.facebook.com/Uberrito/,https://www.instagram.com/uberrito/,
19,Vallarta Tex Mex & Cantina,https://vallartatexmex.com/,13464408177,,https://www.facebook.com/profile.php?id=61572960680520,https://www.instagram.com/vallarta_tex_mex/,
20,Walk On's Sports Bistreaux,https://walk-ons.com/,,,https://www.facebook.com/walkonssportsbistreaux,https://www.instagram.com/walkons,https://www.linkedin.com/company/walk-on's-bistreaux-&-bar
21,Whiskey Cake,https://whiskeycake.com/,"(210) 236-8095, (346) 209-5577, (469) 941-2253, (813) 535-9955, (832) 430-2253, (832) 558-2253, (972) 993-2253, 1 (737) 243-1330, 281-729-8333, 817-289-3691, 904-990-5940",,https://www.facebook.com/whiskeycakestafford,https://www.instagram.com/whiskeycake/,
22,Wildflower Catering,https://wildflowercatering.com/,,,,,
23,Willie's Grill & Icehouse,https://williesgrillandicehouse.com/,,,,,
24,Wings World HTX,https://wingsworldhtx.com/,,,,,
25,Amore Italian Restaurant,https://www.amorehouston.com/,(713) 485-0033,,,https://www.instagram.com/amore_houston/,
26,Another Broken Egg Cafe,https://www.anotherbrokenegg.com/,,,https://www.facebook.com/AnotherBrokenEgg/,https://www.instagram.com/anotherbrokenegg/,https://www.linkedin.com/company/another-broken-egg-cafe
27,Athena's Greek & European Kitchen,https://www.athenasgreekkitchen.com/,"(832) 328-5494, 8323285494",,https://www.facebook.com/athenasgreekandeuropean,https://www.instagram.com/athenasgreekkitchen/,
28,Au Bon Pain - MED,https://www.aubonpain.com/,,,,,
